1    Oven              Functional
2    Stove             Functional
3    Refrigerator      Functional
4    Microwave         Functional
5    Dishwasher        Functional
6    Blender           Functional
7    Toaster           Functional
8    Coffee Maker      Functional
9    Food Processor    Functional
10   Mixer             Functional
11   Deep Fryer        Functional
12   Grill             Functional
13   Juicer            Functional
14   Rice Cooker       Functional
15   Slow Cooker       Functional
16   Waffle Maker      Functional
17   Panini Press      Functional
18   Electric Kettle   Functional
19   Pressure Cooker   Functional
20   Ice Cream Maker   Non-Functional
