1 Salt Spice 10 lbs 3
2 Pepper Spice 8 oz 5
3 Garlic Produce 15 bulbs 7
4 Onion Produce 20 lbs 2
5 Chicken Meat 30 lbs 1
6 Beef Meat 25 lbs 4
7 Shrimp Seafood 12 lbs 9
8 Salmon Seafood 18 lbs 6
9 Tomato Produce 22 lbs 8
10 Lettuce Produce 28 lbs 10
11 Basil Herb 5 oz 3
12 Thyme Herb 3 oz 5
13 Parsley Herb 4 oz 7
14 Cumin Spice 6 oz 2
15 Paprika Spice 7 oz 1
16 Coriander Spice 4 oz 9
17 Turmeric Spice 3 oz 6
18 Bay_leaves Spice 8 oz 4
19 Oregano Spice 5 oz 10
20 Ginger Produce 10 lbs 3
21 Carrot Produce 15 lbs 5
22 Celery Produce 12 lbs 7
23 Bell_pepper Produce 20 lbs 2
24 Mushrooms Produce 18 lbs 1
25 Potatoes Produce 25 lbs 9
26 Flour Baking 30 lbs 6
27 Sugar Baking 40 lbs 4
28 Butter Dairy 15 lbs 10
29 Milk Dairy 20 gallons 3
30 Cheese Dairy 10 lbs 5
31 Eggs Dairy 50 count 7
32 Olive_oil Oil 15 liters 2
33 Vinegar Oil 12 liters 1
34 Soy_sauce Sauce 18 gallons 9
35 Worcestershire Sauce 10 gallons 6
36 Ketchup Sauce 20 gallons 4
37 Mustard Sauce 15 gallons 10
38 Mayonnaise Sauce 10 gallons 3
39 Honey Sweetener 25 lbs 5
40 Maple_syrup Sweetener 20 liters 7
41 Rice Grain 30 lbs 2
42 Pasta Grain 25 lbs 1
43 Bread Grain 40 loaves 9
44 Tortillas Grain 35 dozen 6
45 Noodles Grain 20 lbs 4
46 Quinoa Grain 15 lbs 10
47 Tofu Protein 10 lbs 3
48 Tempeh Protein 8 lbs 5
49 Seitan Protein 5 lbs 7
50 Lentils Protein 12 lbs 2
